,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,2019-01-07,4:50:06 AM PST,Adjustment,,PRK-01-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.66
1,2019-01-07,5:53:53 AM PST,Adjustment,,LFE-77-52566,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,28.18
2,2019-01-10,4:32:02 AM PST,Adjustment,3MM-1626W,3MM-1626W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.82
3,2019-01-12,3:30:14 AM PST,Adjustment,,PRK-12-02(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
4,2019-01-12,5:26:09 AM PST,Adjustment,,PRK-03-08,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,1.72
5,2019-01-12,11:35:21 PM PST,Adjustment,3MM-1626W,3MM-1626W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.82
6,2019-01-15,2:24:03 AM PST,Adjustment,,LUX-NEO110B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,14.65
7,2019-01-24,2:18:02 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
8,2019-01-25,11:37:00 PM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
9,2019-01-28,5:20:40 PM PST,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Lost:Outbound,1.0,,,,0.0,-0.0,-0.0,27.4
10,2019-01-29,4:51:27 PM PST,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,27.4
11,2019-02-02,2:23:04 AM PST,Adjustment,,LUX-NEO180W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,24.03
12,2019-02-02,2:28:38 AM PST,Adjustment,,LUX-NEO185W,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,24.03
13,2019-02-05,11:28:43 AM PST,Adjustment,,OMR-BP742N,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,29.15
14,2019-02-05,11:47:38 AM PST,Adjustment,,PRK-01-08,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,1.66
15,2019-02-14,10:05:52 PM PST,Adjustment,,PRK-03-08(X2),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.44
16,2019-02-16,11:51:49 PM PST,Adjustment,,OMR-BP742N,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,29.15
17,2019-02-19,2:32:31 AM PST,Adjustment,,PRK 12-08(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
18,2019-02-21,4:54:41 AM PST,Adjustment,,LUX-NEO185B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,24.03
19,2019-02-22,3:57:56 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
20,2019-02-23,1:41:58 AM PST,Adjustment,,PRK-03-08(X2),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.44
21,2019-02-24,1:38:32 AM PST,Adjustment,,CON-187660,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.2
22,2019-02-27,1:22:20 AM PST,Adjustment,,LUX-NEO185W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,24.03
23,2019-03-03,1:35:35 AM PST,Adjustment,3MM-1626W,3MM-1626W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.82
24,2019-03-04,1:37:58 AM PST,Adjustment,,PRK-01-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.66
25,2019-03-04,6:14:00 AM PST,Adjustment,3MM-R1547,3MM-R1547,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,13.37
26,2019-03-06,12:00:34 AM PST,Adjustment,,PRK-01-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.66
27,2019-03-09,2:48:04 AM PST,Adjustment,,3MM-1624W(10),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,0.9
28,2019-03-11,3:55:58 AM PDT,Adjustment,,CON-187660,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.2
29,2019-03-11,4:39:25 AM PDT,Adjustment,,CON-187660,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.2
30,2019-03-13,4:53:12 AM PDT,Adjustment,,PRK 12-08(2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
31,2019-03-17,5:11:54 AM PDT,Adjustment,,PRK-01-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.66
32,2019-03-19,4:09:20 AM PDT,Adjustment,,PRK-03-08(X2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.44
33,2019-03-19,4:15:20 AM PDT,Adjustment,,PRK-12-08(X2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.04
34,2019-03-22,4:18:41 AM PDT,Adjustment,,PRK-01-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.66
35,2019-03-24,2:14:50 AM PDT,Adjustment,,LUX-NEO110B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,14.65
36,2019-03-28,3:57:20 AM PDT,Adjustment,,PRK-12-08(X2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.04
37,2019-03-28,4:10:20 PM PDT,Adjustment,MOL-1443,MOL-1443-1,FBA Inventory Reimbursement - Return Adjustment,1.0,,,,0.0,-0.0,-0.0,9.7
38,2019-03-28,4:39:55 PM PDT,Adjustment,MOL-1451,MOL-1451,FBA Inventory Reimbursement - Return Adjustment,1.0,,,,0.0,-0.0,-0.0,10.89
39,2019-03-28,5:16:31 PM PDT,Adjustment,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Lost:Outbound,1.0,,,,0.0,-0.0,-0.0,8.25
40,2019-04-02,3:16:44 AM PDT,Adjustment,,PRK-01-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.66
41,2019-04-04,3:13:45 PM PDT,Adjustment,,LUX-NEO320W,FBA Inventory Reimbursement - Return Adjustment,1.0,,,,0.0,-0.0,-0.0,27.4
42,2019-04-04,3:15:06 PM PDT,Adjustment,,0R-SOE1-ZLU7,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,0.0
43,2019-04-04,4:36:27 PM PDT,Adjustment,,LUX-NEO185W,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,24.03
44,2019-04-08,4:34:23 AM PDT,Adjustment,3MM-1624W(20),3MM-1624W(20),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.8
45,2019-04-09,4:20:20 AM PDT,Adjustment,,PRK-12-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,2.02
46,2019-04-10,3:52:59 AM PDT,Adjustment,,PRK-03-08(X2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.44
47,2019-04-11,4:39:19 PM PDT,Adjustment,,PRK-03-08(X2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.44
48,2019-04-14,4:07:16 AM PDT,Adjustment,,PRK-12-08(X2),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,4.04
49,2019-04-22,3:15:53 AM PDT,Adjustment,,LUX-NEO120B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,18.31
50,2019-04-24,5:40:13 AM PDT,Adjustment,KEL-GEL15GM,KEL-GEL15GM,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,16.26
51,2019-04-25,5:39:52 AM PDT,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,27.4
52,2019-04-25,5:55:44 AM PDT,Adjustment,,LUX-NEO120B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,18.31
53,2019-04-26,6:14:59 AM PDT,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,27.4
54,2019-04-27,4:18:45 AM PDT,Adjustment,,LUX-NEO180W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,24.03
55,2019-04-27,5:07:52 AM PDT,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,27.4
56,2019-04-27,11:35:32 PM PDT,Adjustment,,PRK-01-08(X2),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.32
57,2019-04-29,1:26:45 PM PDT,Adjustment,,LUX-NEO185B,FBA Inventory Reimbursement - Return Adjustment,1.0,,,,0.0,-0.0,-0.0,24.03
58,2019-04-29,1:29:14 PM PDT,Adjustment,,LUX-NEO185B,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,24.03
59,2019-04-29,3:02:03 PM PDT,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Return Adjustment,1.0,,,,0.0,-0.0,-0.0,27.4
60,2019-04-29,5:22:42 PM PDT,Adjustment,,LUX-NEO250B,FBA Inventory Reimbursement - Lost:Outbound,1.0,,,,0.0,-0.0,-0.0,27.21
61,2019-04-30,2:07:44 AM PDT,Adjustment,,PRK-03-08(X2),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.44
62,2019-04-30,10:46:38 AM PDT,Adjustment,,LUX-NEO110B,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,14.65
63,2019-05-01,3:32:09 AM PDT,Adjustment,PRK-12-02,PRK-12-02(A),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.06
64,2019-05-02,6:12:29 AM PDT,Adjustment,PRK-12-02,PRK-12-02(A),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.06
65,2019-05-05,4:18:02 AM PDT,Adjustment,,PRK-12-08(X2),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,4.04
66,2019-05-06,12:55:48 PM PDT,Adjustment,,PRK-01-08(X2),FBA Inventory Reimbursement - Lost:Inbound,1.0,,,,0.0,-0.0,-0.0,3.32
67,2019-05-06,1:16:16 PM PDT,Adjustment,3MM-R1547,3MM-R1547,FBA Inventory Reimbursement - Lost:Inbound,1.0,,,,0.0,-0.0,-0.0,13.37
68,2019-05-06,11:57:26 PM PDT,Adjustment,,PRK-12-08(X3),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,6.06
69,2019-05-09,2:05:51 AM PDT,Adjustment,,PRK-12-08(X3),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,6.06
70,2019-05-09,3:25:12 AM PDT,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,27.4
71,2019-05-10,5:31:45 PM PDT,Adjustment,,LUX-NEO110B,FBA Inventory Reimbursement - Lost:Inbound,22.0,,,,0.0,-0.0,-0.0,322.3
72,2019-05-10,5:31:45 PM PDT,Adjustment,,LUX-NEO320B,FBA Inventory Reimbursement - Lost:Inbound,5.0,,,,0.0,-0.0,-0.0,137.0
