,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
83,"Aug 22, 201",9 4:18:53 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
84,"Aug 22, 201",9 4:23:29 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
85,"Aug 22, 201",9 5:18:46 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
86,"Aug 30, 201",9 8:07:04 PM PDT,FBA Inventory Fee,,NAN,FBA Prep Fee: Labeling,,,,,0.0,-0.0,-0.0,
87,"Aug 30, 201",9 8:07:10 PM PDT,FBA Inventory Fee,,NAN,FBA Prep Fee: Polybagging,,,,,0.0,-0.0,-0.0,
88,02-Sep-19,7:52:20 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
89,02-Sep-19,7:52:20 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
90,02-Sep-19,7:52:20 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
91,02-Sep-19,7:52:20 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
92,02-Sep-19,7:52:20 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
93,09-Sep-19,12:07:15 PM PDT,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
94,"Sep 11, 201",9 3:31:58 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
95,"Sep 13, 201",9 8:05:20 PM PDT,FBA Inventory Fee,,NAN,FBA Prep Fee: Labeling,,,,,0.0,-0.0,-0.0,
96,"Sep 16, 201",9 1:12:54 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
97,"Sep 16, 201",9 1:12:54 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
98,"Sep 16, 201",9 1:55:13 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
