,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
34,02-Feb-19,3:23:42 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
35,03-Feb-19,5:10:59 AM PST,Adjustment,3MM-2862(X2),3MM-2862(2),FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,4.36
36,05-Feb-19,12:24:31 PM PST,Adjustment,,LUX-NEO185B,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,24.03
37,06-Feb-19,5:06:13 AM PST,Adjustment,3MM-R1547,3MM-R1547(50 PACK),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,13.37
38,07-Feb-19,3:04:22 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.43
39,07-Feb-19,12:51:43 PM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,10.32
40,08-Feb-19,5:27:47 AM PST,Adjustment,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
41,09-Feb-19,9:25:18 AM PST,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.96
42,"Feb 10, 201",9 7:12:13 AM PST,Adjustment,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
43,"Feb 11, 201",9 2:09:34 AM PST,Adjustment,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.67
44,"Feb 12, 201",9 2:22:29 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.43
45,"Feb 12, 201",9 5:41:31 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
46,"Feb 13, 201",9 3:58:36 AM PST,Adjustment,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,8.25
