,date,time,type,order id,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
53,2019-04-29,7:27:38 PM PDT,FBA Inventory Fee,190423IHW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
54,2019-04-29,7:27:38 PM PDT,FBA Inventory Fee,190423IHW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
55,2019-04-29,7:27:38 PM PDT,FBA Inventory Fee,190423IHW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
56,2019-05-07,1:09:09 PM PDT,FBA Inventory Fee,190429NKW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
57,2019-05-07,1:09:09 PM PDT,FBA Inventory Fee,190429NKW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
58,2019-05-07,1:09:09 PM PDT,FBA Inventory Fee,190429NKW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
59,2019-05-09,10:28:35 AM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
60,2019-05-14,11:52:38 AM PDT,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
61,2019-05-17,3:05:17 PM PDT,FBA Inventory Fee,190515ZZ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
62,2019-05-17,3:05:20 PM PDT,FBA Inventory Fee,190515ZZ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
63,2019-05-17,3:05:20 PM PDT,FBA Inventory Fee,190515ZZ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
64,2019-05-27,8:08:31 AM PDT,FBA Inventory Fee,190514VTB,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
65,2019-05-27,8:08:31 AM PDT,FBA Inventory Fee,190514VTB,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
66,2019-05-27,8:08:34 AM PDT,FBA Inventory Fee,190514VTB,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
67,2019-05-29,12:09:14 PM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
