"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2018-01-08 3:52:10 PM PST","6546166651","Order","702-9198824-2677801","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Fort Frances","Ontario","P9A 1E5","40.00","4.99","0","0","5.85","-6.00","-11.97","-0.17","0","32.70"
"2018-01-08 3:52:12 PM PST","6546166651","Order","702-4831356-6061858","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Montreal","Quebec","H2S 3A7","14.94","4.88","0","0","0.99","-2.24","-11.84","-0.03","0","6.70"
"2018-01-08 4:01:39 PM PST","6546166651","Order","702-2887729-7035437","OLA-HP3","OLAPLEX Hair Perfector No-3 Repairing Treatment, 3.3-Ounce","1","amazon.ca","Amazon","Comox","British Columbia","V9M 3Z6","31.99","0","0","0","1.60","-4.80","-6.33","-0.05","0","22.41"
"2018-01-08 4:02:11 PM PST","6546166651","Order","701-4587794-7737000","OMR-BP742N","OMRON OMRBP742N, 5 Series Advanced-Accuracy Upper Arm Blood Pressure Monitor","1","amazon.ca","Amazon","Barss Corner","Nova Scotia","B0R 1A0","78.00","0","0","0","11.70","-11.70","-6.78","-0.34","0","70.88"
"2018-01-08 4:14:23 PM PST","6546166651","Order","702-3092443-6193859","LUX-NEO110B","Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white)","1","amazon.ca","Amazon","Prince George","British Columbia","V2N 6S9","33.93","0","0","0","1.70","-8.14","-4.97","-0.10","0","22.42"
"2018-01-08 4:14:23 PM PST","6546166651","Order","702-3092443-6193859","LUX-NEO110B","Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white)","1","amazon.ca","Amazon","Prince George","British Columbia","V2N 6S9","33.93","0","0","0","1.70","0","-4.97","0","0","30.66"
"2018-01-08 5:26:24 PM PST","6546166651","Transfer","","","To account ending with: 8217","","","","","","","0","0","0","0","0","0","0","0","-2,868.29","-2,868.29"
"2018-01-08 5:47:00 PM PST","6546166651","Order","701-6177660-3032214","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Milton","Ontario","L9T 5J8","40.00","0","0","0","5.20","-12.00","-4.07","-0.30","0","28.83"
"2018-01-08 5:47:00 PM PST","6546166651","Order","701-6177660-3032214","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Milton","Ontario","L9T 5J8","40.00","0","0","0","5.20","0","-4.07","0","0","41.13"
"2018-01-08 5:48:26 PM PST","6546166651","Order","701-8693905-3493042","MDL-NON80328","Medline NON80328 Emesis Bags, Blue, 24 Count","1","amazon.ca","Amazon","Brampton","Ontario","L6R 2L2","18.88","0","0","0","2.45","-2.27","-17.91","-0.07","0","1.08"
