sku,Total-Quantity-Sold,Total-Cost,Return on Sales,"R.O.S > 10%: 1, else: 0"
BRO-HBMC-R,85,1358.81,3,0
BRO-HDFB-R,261,3897.85,3.47,0
BRO-HGCS-R,100,1608.9,2.72,0
BRO-HIES-R,23,530.28,15.92,1
BRO-HNBO-R,153,2831.77,3.12,0
BRO-HRLC-R,95,1517.57,3.75,0
BRO-HSAM-R,21,375.64,7.87,0
CON-125264E,21,462.82,16.46,1
CON-125265E,30,699.03,21.19,1
CON-183910,151,1294.49,3.67,0
CON-183910(X3),180,4009.56,6.11,0
CON-183910E,30,226.38,6.27,0
CON-183910E(X3),60,1078.79,9.37,0
CON-187660,31,385.91,0.47,0
CON-187660-1,29,346.11,0.66,0
CON-22771,400,10809.13,8.6,0
CON-413155,1,41.94,28.89,1
CON-420671,60,1148.59,8.43,0
CON-420680,1,29.24,20.74,1
DER-31815,506,4814.42,1.31,0
HOL-7331(E),13,157.69,0.79,0
HOL-7805(E),64,1181.11,8.91,0
HOL-7805E(B),139,2462.92,4.04,0
HOL-7806(E),10,226.94,1.6,0
HOL-7910(E),60,594.01,4.96,0
HOL-7910E(B),60,592.08,4.58,0
HOL-79520(E),18,355.74,8.94,0
HOL-79530(E),10,186.56,18.64,1
HOL-79540(E),10,187.22,19.13,1
HOLL-14104,2,46.96,0.02,0
HOLL-14603(1),2,40.84,5.57,0
KEL-GEL15GM,404,9177.64,-1.59,0
KEL-GEL60GM,126,8513.44,14.62,1
MCR-1577,52,1992.62,6.56,0
MDL-MSC092534(X3),81,1417.82,2.24,0
MDL-MSC092625H,47,264.32,1.06,0
MDL-MSC092915H(X3),73,534.47,2.31,0
MDL-MSC094109H(X3),16,328.61,4.01,0
MDL-MSC094308,49,393.39,3.21,0
MDL-MSC094420,346,6541.53,4.56,0
MDL-MSC094420(X2),18,601.22,16.6,1
MDL-MSC094424 (3),1,16.8,4.07,0
MDL-MSC094424(X2),34,359.17,-1.19,0
MDL-MSC094424(X3),124,2129.08,4.81,0
MDL-MSC094514(X12),6,313.34,6.47,0
MDL-MSC094544(B),1,7.61,-0.69,0
MDL-MSC094544(X3),100,1915.81,3.23,0
MDL-MSC094604,103,848.86,1.1,0
MDL-MSC094604H(X3),31,767.02,1.73,0
MDL-MSC094853UNSC,36,233.88,2.16,0
MDL-NON80328,3654,32236.5,1.06,0
MOL-1434,214,3265.04,3.1,0
MOL-1434(B),168,2542.63,5.17,0
MOL-1437(A),282,4076.16,3.07,0
MOL-1437-1,121,1863.78,5.77,0
MOL-1438,2,32.8,3.69,0
MOL-1438(B),32,541.01,3.23,0
MOL-1439,32,632.42,1.57,0
MOL-1443,102,1713.79,-1.25,0
