ID Group,Sub-ID,landing cost
WEL-01690-410,WEL-06190-200,118.34
WEL-06000-800,WEL-06000-800,6.6
WEL-24400-U,WEL-24400U,3.29
WEL-5079135,WEL-5079135,
WEL-52432-U,WEL-52432-U,19.5
WEL-52432-U,WEL-52432-U(X25),19.5
WEL-52432-U(34 Pack),WEL-52432-U(34 PACK),
WEL-52434-U,WEL-52434-U,19.5
WEL-52434-U,WEL-52434-U(X25),19.5
WEL-52434-U,WEL-52434-U(850),19.5
WEL-52434-U(3),WEL-52434-U(3),2.34
WEL-52434-U(3),WEL-52434-U(102 PACK),2.34
WEL-52434-U(A),WEL-52434-U(A),
WEL-92821,WEL-92821,221.79
,3MM-1527-1(6),2.37
,3MM-1527-1(B),
,3MM-1527-1-12 (2),
,3MM-1538-1,
,3MM-2862(X12),26.16
,BSN-76168,6.44
,CON-187660,7.2
,CON-187955,13.93
,LFE-77-52566,28.18
,LUX-NEO110B,14.65
,LUX-NEO110W,14.65
,LUX-NEO120B,18.31
,LUX-NEO120W,18.31
,LUX-NEO180B,24.03
,LUX-NEO180W,24.03
,LUX-NEO185B,24.03
,LUX-NEO185W,24.03
,LUX-NEO250B,27.21
,LUX-NEO320B,27.4
,LUX-NEO320W,27.4
,MDL-MSC092534,3.38
,MOP-3047_JPA-IP6-BLU,26.4
,OMR-BP652,42.7
,OMR-BP710N,24.03
,OMR-BP742N,29.15
,OMR-BP785N,48.64
,PRK-01-08,1.66
,PRK-01-08(X2),3.32
,PRK-03-08,1.72
,PRK-03-08(X2),3.44
,PRK-12-08,2.02
,PRK-12-08(X2),4.04
,PRK-12-08(X3),6.06
MDL-MSC092534(X3),MDL-MSC092534(X3),10.14
MDL-MSC094109H(X3),MDL-MSC094109H(X3),11.1
MDL-MSC094419,MDL-MSC094420,10.69
MDL-MSC094420(X2),MDL-MSC094420(X2),21.38
MDL-MSC094424(X2),MDL-MSC094424(X2),6.36
MDL-MSC094544(X3),MDL-MSC094544(X3),10.77
MDL-MSC094604H(X3),MDL-MSC094604H(X3),15.3
S&N-66000318,S&N-66000319,4.67
S&N-66800268,S&N-66800269,10.62
S&N-66800269,S&N-66800270,13.53
S&N-66800271,S&N-66800272,19.71
S&N-66801067,S&N-66801068,23.78
,3MM-1624W(10),0.9
,3MM-1624W(50),4.5
,LUX-NEO250W,27.21
,OMR-BP760N,48.07
,S&N-66000041,11.28
