,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Product-Profit,Return on Sales,Profit Per Quantity Sold
0,3MM-1527-1-12,297.0,3217.770000000004,483.1700000000006,946.7999999999954,1404.810000000004,382.99000000000433,1.2895286195286342,1.2895286195286342
1,3MM-1527-2,493.0,6074.32999999997,911.6899999999997,2420.980000000014,2119.8999999999896,621.7599999999666,1.2611764705881674,1.2611764705881674
2,3MM-1537,36.0,704.2299999999996,105.74000000000002,133.74999999999997,285.1199999999999,179.61999999999966,4.989444444444435,4.989444444444435
3,3MM-1537(X4),90.0,1648.8000000000004,247.7,314.2599999999999,712.7999999999996,374.0400000000011,4.156000000000012,4.156000000000012
4,3MM-1539,147.0,2453.0000000000027,367.76000000000033,522.78,1212.75,349.7100000000023,2.3789795918367505,2.3789795918367505
5,3MM-1539(20),109.0,2234.52,335.23,374.42999999999984,1199.0,325.8600000000001,2.989541284403671,2.989541284403671
6,3MM-1539(X3),269.0,3993.079999999993,598.8800000000011,878.6300000000042,2219.25,296.3199999999879,1.1015613382899179,1.1015613382899179
7,3MM-1539(X4),45.0,802.6200000000001,120.45000000000005,166.64999999999998,495.0,20.520000000000095,0.4560000000000021,0.4560000000000021
8,3MM-1547(B),12.0,311.84000000000003,37.42,41.400000000000006,160.44000000000003,72.57999999999998,6.048333333333332,6.048333333333332
9,3MM-1622W,40.0,881.66,105.79000000000002,131.20000000000002,553.2,91.46999999999991,2.286749999999998,2.286749999999998
10,3MM-1624W,202.0,3087.63999999999,370.1700000000012,694.8399999999971,1818.0,204.62999999999147,1.0130198019801557,1.0130198019801557
11,3MM-1624W(20),183.0,897.0699999999981,71.4200000000001,298.93999999999966,329.4000000000007,197.30999999999767,1.0781967213114627,1.0781967213114627
12,3MM-1624W(20B),921.0,5441.480000000004,565.7200000000054,1741.2099999999893,1657.799999999979,1476.75000000003,1.603420195439772,1.603420195439772
13,3MM-1624W(B),804.0,12859.919999999958,1928.579999999998,2810.5400000000236,7236.0,884.7999999999374,1.1004975124377332,1.1004975124377332
14,3MM-1626W,376.0,6607.209999999989,989.7399999999966,1314.009999999994,3692.3200000000165,611.1399999999821,1.6253723404254845,1.6253723404254845
15,3MM-1626W(10),2065.0,11600.529999999957,1344.3400000000302,4139.709999999936,4047.400000000052,2069.079999999938,1.0019757869249095,1.0019757869249095
16,3MM-1626W(B),505.0,9210.75999999998,1381.7799999999909,1788.989999999997,4959.100000000001,1080.8899999999912,2.140376237623745,2.140376237623745
17,3MM-1626W(C),82.0,1435.5800000000017,172.39000000000007,290.60999999999984,805.2400000000007,167.34000000000106,2.040731707317086,2.040731707317086
18,3MM-1626W(DOUBLE PACK-1),45.0,1488.560000000001,223.28999999999996,238.44999999999985,883.7999999999995,143.0200000000018,3.1782222222222622,3.1782222222222622
19,3MM-1626W(DOUBLE PACK-2),18.0,655.2800000000002,98.29000000000003,92.36999999999998,353.51999999999987,111.10000000000036,6.172222222222242,6.172222222222242
20,3MM-1626W(X2),73.0,2341.9100000000017,351.32000000000016,355.0899999999997,1433.7200000000012,201.78000000000065,2.7641095890411047,2.7641095890411047
21,3MM-1626W(X2B),133.0,4303.77,645.869999999999,718.0299999999994,2612.120000000002,327.75,2.4642857142857144,2.4642857142857144
22,3MM-1626W-25 PACK,157.0,1624.9499999999973,242.8800000000005,442.27000000000066,0.0,939.7999999999961,5.985987261146472,5.985987261146472
23,3MM-1628,33.0,630.7699999999999,94.64000000000001,83.08999999999997,261.3599999999999,191.67999999999995,5.808484848484847,5.808484848484847
24,3MM-2113,39.0,3086.0,335.2999999999998,151.14999999999995,2046.7200000000005,552.8299999999999,14.175128205128203,14.175128205128203
25,3MM-2113R,58.0,4501.8,540.2400000000005,192.2899999999999,3043.8400000000006,725.4299999999994,12.507413793103437,12.507413793103437
26,3MM-2146,30.0,2510.3099999999995,301.26,99.92000000000002,1627.2,481.9299999999994,16.064333333333312,16.064333333333312
27,3MM-2155,9.0,702.24,84.28,33.82,488.16,95.98000000000002,10.664444444444447,10.664444444444447
28,3MM-2161,62.0,12133.460000000005,1455.9300000000003,374.8599999999998,7689.2400000000125,2613.429999999991,42.1520967741934,42.1520967741934
29,3MM-2165,30.0,5197.280000000001,623.6299999999999,154.75000000000003,3706.500000000002,712.3999999999987,23.746666666666624,23.746666666666624
30,3MM-2178,31.0,6522.26,782.6600000000002,151.55,3830.050000000002,1757.9999999999982,56.70967741935478,56.70967741935478
31,3MM-2560,480.0,3692.020000000016,443.3200000000019,718.3300000000023,1550.4000000000037,979.970000000008,2.041604166666683,2.041604166666683
32,3MM-2560(100),380.0,5240.640000000004,626.5400000000001,980.7899999999975,2454.800000000007,1178.5099999999993,3.1013421052631562,3.1013421052631562
33,3MM-2560(50),184.0,1402.6300000000006,179.3,608.6100000000004,594.3200000000005,20.399999999999636,0.11086956521738933,0.11086956521738933
34,3MM-2560(X2),1180.0,16109.350000000113,1917.5900000000036,2208.2399999999907,7622.800000000028,4360.72000000009,3.69552542372889,3.69552542372889
35,3MM-2862(2),95.0,851.1800000000009,102.00000000000009,343.9999999999999,414.2000000000005,-9.01999999999964,-0.09494736842104885,-0.09494736842104885
36,3MM-2862(3),117.0,1263.8099999999988,151.31000000000006,387.67999999999984,765.1800000000001,-40.360000000001264,-0.34495726495727574,-0.34495726495727574
