date,order id,country,order city,order state,item,quantity,revenue,total cost,profit,return on sales
04-01-2019,114-9980886-2743429,USA,CANE RIDGE,TN,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
04-01-2019,112-7574523-1932261,USA,MIAMI GARDENS,FL,3MM-2862(3),1,10.79,11.02,-0.23,-0.021316033
04-01-2019,111-8169039-1229038,USA,MALDEN,MA,3MM-2862(3),2,21.58,22.04,-0.46,-0.021316033
04-01-2019,111-3208383-6523438,USA,Colorado Springs,CO,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
04-01-2019,111-5419578-6953841,USA,MATTHEWS,NC,3MM-2862(3),1,10.79,13.6,-2.81,-0.260426321
04-01-2019,111-5419578-6953841,USA,MATTHEWS,NC,3MM-2862(3),2,21.58,19.46,2.12,0.09823911
04-01-2019,114-9274706-5104213,USA,Houston,TX,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
04-01-2019,112-5657555-0280221,USA,SPOTSWOOD,NJ,3MM-1626W(10),2,13,10.74,2.26,0.173846154
04-01-2019,112-9291958-6701830,USA,New York,NY,SOT-140176,1,32.95,31.54,1.41,0.042792109
04-01-2019,111-7834289-1007458,USA,WEST CHESTER,OH,3MM-1527-2,1,12.84,10.94,1.9,0.147975078
04-01-2019,114-4189820-4458632,USA,Quincy,MA,MCR-1577,1,44.88,38.02,6.86,0.15285205
04-01-2019,111-9363143-7811424,USA,NEW BRAUNFELS,TX,MOL-281000,2,28,23.92,4.08,0.145714286
04-01-2019,114-6553994-1907469,USA,GRANADA HILLS,CA,MOL-281200-1,2,28,24.88,3.12,0.111428571
04-01-2019,111-5704923-1837024,USA,NAVARRE,FL,3MM-1626W-25 PACK,1,10.35,3.96,6.39,0.617391304
04-01-2019,111-8812667-2841054,USA,GILBERT,SC,MDL-NON80328,1,8.03,9.14,-1.11,-0.138231631
04-01-2019,112-5127838-7107404,USA,AUGUSTA,GA,3MM-2862(2),1,9.56,8.7,0.86,0.089958159
04-01-2019,111-2894644-5666640,USA,BANGOR,ME,3MM-1527-2,4,49.28,43.44,5.84,0.118506494
04-01-2019,111-7356599-6111439,USA,LOUISVILLE,KY,MCR-1577,1,44.88,38.02,6.86,0.15285205
04-01-2019,114-2570740-9331464,USA,LAS VEGAS,NV,3MM-1527-2,1,12.3,12.71,-0.41,-0.033333333
04-01-2019,114-2570740-9331464,USA,LAS VEGAS,NV,3MM-1527-2,1,12.3,9.01,3.29,0.267479675
04-01-2019,113-1790839-8475434,USA,HAMDEN,CT,SOT-160214,1,29.09,27.4,1.69,0.058095565
04-01-2019,113-2070514-9374625,USA,AUSTIN,TX,MDL-NON80328,1,8.03,9.14,-1.11,-0.138231631
04-01-2019,113-9119671-6466624,USA,PLAINFIELD,IL,MOL-1443-1,1,20.14,16.83,3.31,0.164349553
04-01-2019,112-0341930-9836259,USA,Catskill,NY,3MM-1527-2,1,12.24,10.85,1.39,0.113562092
04-01-2019,111-7570091-0334640,USA,LINCOLN,NE,MDL-NON80328,1,8.02,9.14,-1.12,-0.139650873
04-01-2019,112-7322042-0304214,USA,Rochester,MN,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
04-01-2019,114-5955442-1910618,USA,Centennial,CO,3MM-1539,1,16.68,13.94,2.74,0.164268585
04-01-2019,111-7739083-8917061,USA,Madison,CA,MDL-NON80328,1,8.03,9.14,-1.11,-0.138231631
04-01-2019,113-9835308-9085838,USA,New York,NY,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
04-01-2019,112-4842733-1424209,USA,Knoxville,TN,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
04-01-2019,114-0916719-8970622,USA,PHOENIXVILLE,PA,3MM-1527-2,1,12.32,10.86,1.46,0.118506494
04-01-2019,111-4523470-9957060,USA,Lansdale,PA,3MM-1626W-25 PACK,1,10.35,3.96,6.39,0.617391304
04-01-2019,113-7471737-6205855,USA,MANVEL,TX,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
04-01-2019,111-6107917-5369055,USA,Cheyenne,WY,MOL-295600,2,88,77.7,10.3,0.117045455
04-01-2019,114-1175245-6821819,USA,Paoli,PA,MOL-281200-1,1,14,12.44,1.56,0.111428571
04-01-2019,111-3379463-5360201,USA,WILLIAMS,AZ,3MM-1539,1,16.68,13.94,2.74,0.164268585
04-01-2019,111-2020866-2305015,USA,Newark,DE,3MM-R1547(50 PACK),1,26.94,20.6,6.34,0.235337788
04-01-2019,113-4053802-2360206,USA,NEW YORK,NY,3MM-1626W(DOUBLE PACK-2),1,36.5,29.83,6.67,0.182739726
04-01-2019,113-3010529-9393830,USA,GADSDEN,AL,3MM-1539,1,16.68,13.94,2.74,0.164268585
04-01-2019,111-2902619-7561848,USA,NEVADA,MO,MDL-NON80328,1,8.02,9.14,-1.12,-0.139650873
04-01-2019,111-4932535-0398629,USA,INTERLOCHEN,MI,CON-187660-1,1,12.64,12.29,0.35,0.027689873
04-01-2019,113-3874809-1542624,USA,Calabasas,CA,3MM-1626W(10),1,6.5,6.37,0.13,0.02
04-01-2019,113-3874809-1542624,USA,Calabasas,CA,3MM-1626W(10),1,6.5,4.37,2.13,0.327692308
