date,order id,item,country,order city,order state,quantity,revenue,total cost,profit
02-01-2019,113-0559125-5250665,WEL-52432-U,,OAK BROOK,IL,1,33.5,29.24,4.26
02-01-2019,114-6131801-9395430,3MM-1626W(10),,Boynton Beach,FL,1,6.5,5.37,1.13
02-01-2019,112-5608377-7780236,3MM-2862(3),,SUN CITY CENTER,FL,2,21.6,22.06,-0.46
02-01-2019,111-1702326-4661827,MOL-281000,,SOUTH PASADENA,CA,1,14.69,12.06,2.63
02-01-2019,114-1674566-5016243,3MM-2560(50),,los angeles,CA,1,7.75,11.41,-3.66
02-01-2019,113-9053871-3318609,3MM-B1551,,Miami,FL,1,36.28,17.73,18.55
02-01-2019,112-2369316-9545812,MOL-1451,,O FALLON,MO,1,20.01,18,2.01
02-01-2019,113-1491176-2470652,3MM-2862(3),,LOS ANGELES,CA,1,10.79,11.02,-0.23
02-01-2019,112-1107029-9622601,3MM-2113R,,BLOOMFIELD HILLS,MI,1,74.99,64.67,10.32
02-01-2019,112-1970345-9991401,MDL-NON80328,,SHAKER HEIGHTS,OH,1,7.7,7.62,0.08
02-01-2019,112-1759568-8071457,MCR-1577,,BIRDSBORO,PA,1,44.88,38.02,6.86
02-01-2019,111-1960484-3234628,3MM-1626W-25 PACK,,SUFFOLK,VA,1,10.35,3.96,6.39
02-01-2019,113-5967037-5903433,MDL-NON80328,,LENEXA,KS,1,7.7,7.62,0.08
02-01-2019,112-5800566-3004263,3MM-2862(3),,MONROVIA,CA,1,10.79,11.02,-0.23
02-01-2019,114-4654965-0722648,3MM-2560(50),,LONGWOOD,FL,1,7.75,7.42,0.33
02-01-2019,112-9708539-1837809,3MM-2862(3),,Miami,FL,1,10.8,11.03,-0.23
02-01-2019,112-3424006-4302626,MOL-1443-1,,GOLDSBORO,NC,1,20.14,23.5,-3.36
02-01-2019,113-0966557-3718635,3MM-1626W(10),,WINDERMERE,FL,1,6.5,11.36,-4.86
02-01-2019,111-7223278-5281863,MOL-281200-1,,ELDORADO,WI,2,29.6,25.12,4.48
02-01-2019,113-1864947-4615403,3MM-1527-2,,JEFFERSON CITY,TN,1,12.82,10.93,1.89
02-01-2019,111-8356794-2662646,MCR-1577,,HOUSTON,TX,1,44.88,38.62,6.26
02-01-2019,112-7844264-3681836,MOL-1434,,Bergenfield,NJ,1,27.98,15.08,12.9
02-01-2019,111-8521182-3513868,3MM-2560(100),,NORTH LAS VEGAS,NV,2,27.4,22.58,4.82
02-01-2019,113-4988033-9912240,3MM-2863(2),,MENIFEE,CA,1,10.4,9.16,1.24
02-01-2019,114-0101642-8769070,3MM-2862(2),,IRVINGTON,KY,1,9.79,8.72,1.07
02-01-2019,112-8408048-2517816,MOL-281000,,PHILADELPHIA,PA,2,29.38,24.12,5.26
02-01-2019,114-7927697-8285053,3MM-1626W(10),,WILDOMAR,CA,1,6.5,5.37,1.13
02-01-2019,111-2159841-5953012,3MM-2862(3),,Walled Lake,MI,1,10.8,11.03,-0.23
02-01-2019,114-6989206-1241046,3MM-2862(3),,NEW YORK,NY,1,10.79,11.02,-0.23
02-01-2019,111-4701131-8434652,3MM-2560(100),,Beaver,PA,1,13.7,11.29,2.41
02-01-2019,114-6688605-8348252,3MM-1539,,PLANO,TX,1,16.84,13.97,2.87
02-01-2019,112-1792183-0965055,3MM-1626W,,SUMMIT,MS,1,17.95,15.7,2.25
02-01-2019,114-7860870-1513064,MOL-1434,,CHESTER,VA,1,27.98,15.08,12.9
02-01-2019,113-4143039-8071454,3MM-2862(3),,HANOVER TOWNSHIP,PA,1,10.8,11.03,-0.23
02-01-2019,111-8648779-6052258,HOLL-14104,,NEW YORK,NY,2,47,46.96,0.04
02-01-2019,113-0646820-8813805,MOL-1434,,Casselton,ND,1,27.98,15.08,12.9
02-01-2019,114-7975971-9632216,3MM-1626W(10),,NASHVILLE,TN,1,6.5,5.37,1.13
02-01-2019,111-0797762-1735401,3MM-1527-2,,Orlando,FL,2,25.5,21.84,3.66
02-01-2019,112-9336705-6957010,3MM-2863(2),,NASHVILLE,TN,3,31.2,27.48,3.72
02-01-2019,113-6720318-9633821,MOL-281000,,MAITLAND,FL,1,14.69,12.06,2.63
02-01-2019,114-4673639-5466645,WEL-52432-U,,Thiensville,WI,1,33.5,29.24,4.26
02-01-2019,114-1641217-7575460,MCR-1577,,Manhattan Beach,CA,1,44.88,38.02,6.86
02-01-2019,113-6063087-4705061,WEL-52432-U,,FRANKLIN,TN,2,67,58.48,8.52
02-01-2019,113-6134348-5177838,MOL-281000,,LOS ANGELES,CA,5,73.45,60.3,13.15
02-01-2019,113-8780438-1147405,3MM-1527-2,,NORTH HOLLYWOOD,CA,1,12.84,10.94,1.9
02-01-2019,111-7339021-0778604,3MM-1626W(10),,Fowler,IL,2,13,10.74,2.26
02-01-2019,113-0696387-7545022,MOL-281000,,Los Angeles,CA,1,14.69,12.06,2.63
02-01-2019,111-4467448-4163448,3MM-2560(100),,PITTSBURGH,PA,1,13.7,11.29,2.41
02-01-2019,113-4830483-4640217,MDL-NON80328,,ALEXANDRIA,VA,1,7.7,7.62,0.08
02-01-2019,114-0738708-8128220,SOT-166130,,Orinda,CA,1,78.15,65.8,12.35
02-01-2019,111-6573156-5525033,3MM-2862(2),,Plymouth,MN,1,9.79,8.72,1.07
02-01-2019,112-2629411-2441036,3MM-2113R,,Lombard,IL,2,149.98,129.34,20.64
02-01-2019,114-2311353-4433013,3MM-2863(2),,Spokane,WA,2,20.8,18.32,2.48
02-01-2019,114-1784917-5680220,SOT-160214,,BROOKLYN,NY,1,29.09,27.4,1.69
02-01-2019,113-0962760-2428214,MCR-1577,,MORENCI,AZ,1,44.88,38.02,6.86
02-01-2019,114-8692152-2197837,3MM-1527-2,,SAN JOSE,CA,1,12.69,10.91,1.78
02-01-2019,112-2285300-4769800,3MM-1626W-25 PACK,,Oakland,CA,3,31.05,11.88,19.17
02-01-2019,111-5391382-7224227,3MM-2862(3),,Vista,CA,1,10.8,11.03,-0.23
02-01-2019,111-1803755-0391444,3MM-2862(3),,ISLE OF PALMS,SC,1,10.8,11.03,-0.23
02-01-2019,111-4603377-3682649,3MM-2113R,,WASHINGTON,DC,1,74.99,64.67,10.32
02-01-2019,113-0970966-7156233,3MM-2862(3),,COLLIERVILLE,TN,1,10.79,11.02,-0.23
02-01-2019,113-5349572-9516246,3MM-1626W,,LOS ANGELES,CA,1,17.95,15.7,2.25
02-01-2019,111-8436652-2573868,3MM-2113,,MIDDLE VILLAGE,NY,1,80,65.27,14.73
02-01-2019,114-1837337-3930649,3MM-R1547(50 PACK),,New Braunfels,TX,1,27.03,20.61,6.42
02-01-2019,113-0777983-9802616,3MM-2862(3),,lutz,FL,5,54,55.15,-1.15
02-01-2019,112-7884468-6473832,MOL-281200-1,,Lodi,WI,3,44.37,37.68,6.69
02-01-2019,112-6438010-0905857,3MM-1626W,,HOLLYWOOD,FL,1,17.95,15.7,2.25
