sku,Total-Quantity-Sold,Total-Product-Revenue,Return on Sales,"R.O.S > 10%: 1, else: 0"
MOL-281100(B),2,22.74,-0.33,0
MOL-281200-1,113,1567.12,1.49,0
MOL-281300,59,1239.34,5.47,0
MOL-295200,305,3965,2.22,0
MOL-295300,254,4583.06,2.4,0
MOL-295400,200,5573.99,4.04,0
MOL-295600,104,4326.94,2.78,0
MOL-670900(B),3,81,13.66,1
OMR-HEM-90XL,5,3468,208.54,1
PRK-12-02(A),1001,3998.1,0.72,0
PRK-12-02(X2),365,1994.66,0.55,0
S&N-66000040,30,428.74,1.81,0
S&N-66000041,150,3075.19,13.85,1
S&N-66000317,40,326.62,3.33,0
S&N-66000318,31,369.83,5.16,0
S&N-66000319,19,331.48,6.82,0
S&N-66250706,38,772.29,1.71,0
S&N-66250706(B),25,498.8,1.56,0
S&N-66800269,68,1413.21,4.15,0
S&N-66800270,60,1881.31,9.81,0
S&N-66800272,19,650.24,6.11,0
S&N-66801068,48,1698.45,2.65,0
SOT-132126,1,36.75,6.68,0
SOT-140172,1,37.73,5.47,0
SOT-140174,40,1798.8,11.32,1
SOT-140176,152,5145.07,1.54,0
SOT-154131,10,190,1.76,0
SOT-160172,183,3228.7,4.13,0
SOT-160214,122,3458.68,0.89,0
SOT-166130,58,5032.22,19.15,1
TOR-MS407W,75,1033.69,2.15,0
TOR-MS407W(B),4971,55939.54,1.52,0
TOR-MS407W(C),104,1222.68,2.12,0
TOR-MS407W(X3),103,3497.88,6.97,0
TOR-MS408W,740,8421.2,1.69,0
VEC-2410008,3,59.7,13.72,1
WEL-01690-410,16,3741.39,74.76,1
WEL-06000-800,701,8193.32,1.43,0
WEL-06190-200,1,239.58,87.02,1
WEL-24400U,497,3526.65,1.14,0
WEL-5079135,7,578.76,68.01,1
WEL-52432-U,303,10853.1,6.23,0
WEL-52432-U(34 PACK),74,681.54,6.28,0
WEL-52432-U(X25),59,1978.17,5.58,0
WEL-52434-U(102 PACK),147,1064.28,2.07,0
WEL-52434-U(850),63,2130.05,6.85,0
WEL-52434-U(A),2,11.49,1.56,0
WEL-52434-U(X25),138,4863.77,8.19,0
WEL-92821,25,8490,72.77,1
