,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Cost,Total-Product-Profit,Return on Sales,Total Return= ROS - Operating Cost (10%),Profit Per Quantity Sold,"1: R.O.S>=15%, 0: else"
50,3MM-6168,30,4909.38,589.14,142.8,3495.6,4227.54,681.84,22.728,12.728,22.728,1
51,3MM-AC-036,1000,5783.84,463.05,1803.45,2310.0,4576.5,1207.34,1.2073399999999999,-8.79266,1.2073399999999999,0
52,3MM-AC-036(X2),100,915.84,73.52,194.95,462.0,730.47,185.37,1.8537,-8.1463,1.8537,0
53,3MM-B1550,4,119.96,14.4,12.76,36.4,63.56,56.4,14.1,4.1,14.1,0
54,3MM-B1551,8,264.9,39.74,29.51,72.8,142.05,122.85,15.35625,5.35625,15.35625,1
55,3MM-B1557,4,212.95,31.93,12.76,67.56,112.25,100.7,25.175,15.175,25.175,1
56,3MM-H1546,108,578.38,46.34,208.4,195.48,450.22,128.16,1.1866666670000001,-8.813333333,1.1866666670000001,0
57,3MM-H1547,119,597.7,47.68,194.82,215.39,457.89,139.81,1.17487395,-8.82512605,1.17487395,0
58,3MM-H1624,490,2644.5,212.18,777.44,901.6,1891.22,753.28,1.537306122,-8.462693878,1.537306122,0
59,3MM-H1626,459,2784.21,237.31,706.89,1156.68,2100.88,683.33,1.4887363830000002,-8.511263617000001,1.4887363830000002,0
60,3MM-R1540 (10),159,858.3,159.0,335.54,271.89,766.43,91.87,0.577798742,-9.422201258,0.577798742,0
61,3MM-R1540(10),100,532.49,42.58,183.89,171.0,397.47,135.02,1.3502,-8.6498,1.3502,0
62,3MM-R1541(20),101,766.27,65.09,182.39,343.4,590.88,175.39,1.736534653,-8.263465347,1.736534653,0
63,3MM-R1541+R1547(10 PACK/5 EACH),239,1630.02,147.89,452.48,523.41,1123.78,506.24,2.118158996,-7.881841004,2.118158996,0
64,3MM-R1542 (5),28,131.59,11.26,51.56,29.4,92.22,39.37,1.406071429,-8.593928571000001,1.406071429,0
65,3MM-R1546 (5),360,1940.76,283.17,640.17,478.8,1402.14,538.62,1.4961666669999998,-8.503833333,1.4961666669999998,0
66,3MM-R1546(50),80,2016.81,300.24,290.17,1062.4,1652.81,364.0,4.55,-5.45,4.55,0
67,3MM-R1546(B),334,7756.05,1163.23,1161.91,4435.52,6760.66,995.39,2.9802095810000004,-7.019790419,2.9802095810000004,0
68,3MM-R1547(10),3287,20584.43,1754.1,6336.51,8776.29,16866.9,3717.53,1.130979617,-8.869020382999999,1.130979617,0
69,3MM-R1547(50 PACK),236,6136.24,920.23,785.04,3155.32,4860.59,1275.65,5.40529661,-4.59470339,5.40529661,0
70,3MM-R1547(A),116,2851.65,427.76,594.83,1550.92,2573.51,278.14,2.397758621,-7.602241379,2.397758621,0
71,3MM-R1547(B),72,1847.69,221.75,264.2,962.64,1448.59,399.1,5.5430555560000005,-4.4569444439999995,5.5430555560000005,0
72,3MM-R1548 (5),60,353.07,42.75,88.2,160.8,291.75,61.32,1.022,-8.978,1.022,0
73,3MM-SLT-1(X2),150,1790.4,269.1,297.95,879.0,1446.05,344.35,2.295666667,-7.704333332999999,2.295666667,0
74,3MM-SLT-1(X4),104,2448.18,367.32,364.4,1218.88,1950.6,497.58,4.784423077,-5.215576923,4.784423077,0
75,BEU-0283-0293-31(X2),48,946.4,113.5,182.36,212.64,508.5,437.9,9.122916667,-0.877083333,9.122916667,0
76,BEU-0283-0679-02,48,1750.56,262.56,200.04,724.32,1186.92,563.64,11.7425,1.7425,11.7425,0
77,BEU-0283-0871-31,96,1087.72,163.36,191.67,425.28,780.31,307.41,3.2021875,-6.7978125,3.2021875,0
78,BRO-HBMC-R,85,1613.81,242.25,434.01,682.55,1358.81,255.0,3.0,-7.0,3.0,0
79,BRO-HDFB-R,261,4802.79,720.71,849.02,2328.12,3897.85,904.94,3.467203065,-6.532796935,3.467203065,0
80,BRO-HGCS-R,100,1880.97,282.29,499.61,827.0,1608.9,272.07,2.7207,-7.2793,2.7207,0
81,BRO-HIES-R,23,896.33,134.52,74.68,321.08,530.28,366.05,15.91521739,5.9152173910000005,15.91521739,1
82,BRO-HNBO-R,153,3309.32,496.51,535.98,1799.28,2831.77,477.55,3.12124183,-6.87875817,3.12124183,0
83,BRO-HRLC-R,95,1873.59,281.0,313.17,923.4,1517.57,356.02,3.747578947,-6.252421053,3.747578947,0
84,BRO-HSAM-R,21,541.0,81.15,76.93,217.56,375.64,165.36,7.874285714,-2.125714286,7.874285714,0
85,CON-125264E,21,808.46,121.27,76.11,265.44,462.82,345.64,16.45904762,6.459047619,16.45904762,1
86,CON-125265E,30,1334.85,200.25,119.58,379.2,699.03,635.82,21.194000000000003,11.194,21.194000000000003,1
87,CON-183910,151,1848.89,277.52,287.64,729.33,1294.49,554.4,3.671523179,-6.328476821000001,3.671523179,0
88,CON-183910(X3),180,5109.26,766.61,634.75,2608.2,4009.56,1099.7,6.109444444,-3.8905555560000002,6.109444444,0
89,CON-183910E,30,414.59,62.19,60.69,103.5,226.38,188.21,6.2736666670000005,-3.726333333,6.2736666670000005,0
