date,type,order id,sku,quantity,product sales
02-Jan-19,Order,114-7927697-8285053,3MM-1626W(10),1,6.5
02-Jan-19,Order,111-2159841-5953012,3MM-2862(3),1,10.8
02-Jan-19,Order,114-6989206-1241046,3MM-2862(3),1,10.79
02-Jan-19,Order,111-4701131-8434652,3MM-2560(100),1,13.7
02-Jan-19,Order,114-6688605-8348252,3M-1539,1,16.84
02-Jan-19,Order,112-1792183-0965055,3MM-1626W,1,17.95
02-Jan-19,Order,114-7860870-1513064,MOL-1434,1,27.98
02-Jan-19,Order,113-4143039-8071454,3MM-2862(3),1,10.8
02-Jan-19,Order,111-8648779-6052258,HOLL-14104,2,47
02-Jan-19,Order,113-0646820-8813805,MOL-1434,1,27.98
02-Jan-19,Order,114-7975971-9632216,3MM-1626W(10),1,6.5
02-Jan-19,Order,111-0797762-1735401,3MM-1527-2,2,25.5
02-Jan-19,Order,112-9336705-6957010,3M-2863(2),3,31.2
02-Jan-19,Order,113-6720318-9633821,MOL-281000,1,14.69
02-Jan-19,Order,114-4673639-5466645,WEL-52432-U,1,33.5
02-Jan-19,Order,114-1641217-7575460,MCR-1577,1,44.88
02-Jan-19,Order,113-6063087-4705061,WEL-52432-U,2,67
02-Jan-19,Order,113-6134348-5177838,MOL-281000,5,73.45
02-Jan-19,Order,113-8780438-1147405,3MM-1527-2,1,12.84
02-Jan-19,Order,111-7339021-0778604,3MM-1626W(10),2,13
02-Jan-19,Order,113-0696387-7545022,MOL-281000,1,14.69
02-Jan-19,Order,111-4467448-4163448,3MM-2560(100),1,13.7
02-Jan-19,Order,113-4830483-4640217,MDL-NON80328,1,7.7
02-Jan-19,Order,114-0738708-8128220,SOT-166130,1,78.15
02-Jan-19,Order,111-6573156-5525033,3MM-2862(2),1,9.79
02-Jan-19,Order,112-2629411-2441036,3M-2113R,2,149.98
02-Jan-19,Order,114-2311353-4433013,3M-2863(2),2,20.8
02-Jan-19,Order,114-1784917-5680220,SOT-160214,1,29.09
02-Jan-19,Order,113-0962760-2428214,MCR-1577,1,44.88
02-Jan-19,Order,114-8692152-2197837,3MM-1527-2,1,12.69
02-Jan-19,Order,112-2285300-4769800,3MM-1626W-25 Pack,3,31.05
02-Jan-19,Order,111-5391382-7224227,3MM-2862(3),1,10.8
02-Jan-19,Order,111-1803755-0391444,3MM-2862(3),1,10.8
02-Jan-19,Order,111-4603377-3682649,3M-2113R,1,74.99
02-Jan-19,Order,113-0970966-7156233,3MM-2862(3),1,10.79
02-Jan-19,Order,113-5349572-9516246,3MM-1626W,1,17.95
02-Jan-19,Order,111-8436652-2573868,3M-2113,1,80
02-Jan-19,Order,114-1837337-3930649,3MM-R1547(50 Pack),1,27.03
