date,Profit_3MD-712-036,Avg. return on sales_3MD-712-036,Distinct count of order id_3MD-712-036,quantity_3MD-712-036,profitPerQuantitySold_3MD-712-036,profitPerOrderMade_3MD-712-036,Prediction_3MD-712-036
2019-July-25,109,0.5611,2,2,54,54,
2019-July-26,218,0.5611,2,4,54,109,
2019-July-29,272,0.5611,3,5,54,91,
2019-July-30,272,0.5611,3,5,54,91,
2019-July-31,54,0.5611,1,1,54,54,
2019-August-1,52,0.5518,1,1,52,52,
2019-August-2,0,0,0,0,0,0,
2019-August-5,286,0.5283,5,6,48,57,
2019-August-6,0,0,0,0,0,0,
2019-August-7,477,0.5283,4,10,48,119,
2019-August-8,237,0.5269,5,5,47,47,
2019-August-9,47,0.5269,1,1,47,47,
2019-August-12,190,0.5269,3,4,47,63,
2019-August-13,190,0.5269,1,4,47,190,
2019-August-14,142,0.5269,2,3,47,71,
2019-August-15,95,0.5269,2,2,47,47,
2019-August-16,47,0.5269,1,1,47,47,
2019-August-19,190,0.5269,4,4,47,47,
2019-August-20,142,0.5269,3,3,47,47,
2019-August-21,332,0.5269,3,7,47,111,
2019-August-22,108,0.5595,2,2,54,54,
2019-August-23,517,0.5743,5,9,57,103,
2019-August-26,184,0.5863,2,3,61,92,
2019-August-27,0,0,0,0,0,0,
2019-August-28,72,0.6298,1,1,72,72,
2019-August-29,240,0.5847,1,4,60,240,
2019-August-30,367,0.5941,3,6,61,122,
2019-September-3,442,0.6059,4,7,63,110,
2019-September-4,255,0.6035,3,4,64,85,
2019-September-5,57,0.5743,1,1,57,57,
2019-September-6,230,0.5743,4,4,57,57,
2019-September-9,115,0.5743,2,2,57,57,
2019-September-10,287,0.5743,4,5,57,72,
2019-September-11,284,0.5728,3,5,57,95,
2019-September-12,50,0.5398,1,1,50,50,
2019-September-13,200,0.5398,4,4,50,50,
2019-September-16,200,0.5398,3,4,50,67,
2019-September-17,549,0.5398,5,11,50,110,
2019-September-18,100,0.5398,2,2,50,50,
2019-September-19,200,0.5398,3,4,50,67,
2019-September-20,0,0,0,0,0,0,
2019-September-23,95,0.527,2,2,47,47,
2019-September-24,332,0.527,4,7,47,83,
2019-September-25,0,0,0,0,0,0,
2019-September-26,129,0.5021,3,3,43,43,
2019-September-27,43,0.5021,1,1,43,43,
2019-September-30,209,0.4976,4,5,42,52,
2019-October-1,209,0.4976,4,5,42,52,
2019-October-2,0,0,0,0,0,0,
2019-October-3,225,0.4679,3,6,37,75,
2019-October-4,225,0.4679,4,6,37,56,
2019-October-7,561,0.4679,7,15,37,80,
2019-October-8,112,0.4679,2,3,37,56,
2019-October-9,37,0.4679,1,1,37,37,
2019-October-10,0,0,0,0,0,0,
2019-October-11,146,0.4611,1,4,36,146,
2019-October-14,0,0,0,0,0,0,
2019-October-15,255,0.4611,2,7,36,127,
2019-October-16,364,0.4611,1,10,36,364,
2019-October-17,0,0,0,0,0,0,
2019-October-18,47,0.527,1,1,47,47,
2019-October-21,399,0.4837,1,10,40,399,
2019-October-22,285,0.527,4,6,47,71,
2019-October-23,0,0,0,0,0,0,
2019-October-24,332,0.527,6,7,47,55,
2019-October-25,237,0.527,3,5,47,79,
2019-October-28,231,0.5213,4,5,46,58,
2019-October-29,589,0.5157,4,13,45,147,
2019-October-30,45,0.5157,1,1,45,45,
2019-October-31,0,0,0,0,0,0,
2019-November-1,62,0.5946,1,1,62,62,
2019-November-4,250,0.5946,4,4,62,62,
